Income per operation: 0.976973749425836, income: 9.4e-323, operation count: 31830, sucsessful operations percentage: 13.667, self_length: 5, after_length: 13, quantity: 5, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9769908971279705, income: 9.4e-323, operation count: 31854, sucsessful operations percentage: 13.913, self_length: 5, after_length: 13, quantity: 5, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9770077880407607, income: 9e-323, operation count: 31880, sucsessful operations percentage: 13.871, self_length: 5, after_length: 13, quantity: 5, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9770122958752385, income: 9.4e-323, operation count: 31884, sucsessful operations percentage: 13.958, self_length: 5, after_length: 13, quantity: 5, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9770819219252456, income: 9.4e-323, operation count: 31982, sucsessful operations percentage: 16.167, self_length: 5, after_length: 13, quantity: 8, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.977080505201484, income: 9.4e-323, operation count: 31980, sucsessful operations percentage: 16.184, self_length: 5, after_length: 13, quantity: 8, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9770840466825382, income: 9.4e-323, operation count: 31985, sucsessful operations percentage: 16.622, self_length: 5, after_length: 13, quantity: 8, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9770840466825382, income: 9.4e-323, operation count: 31985, sucsessful operations percentage: 16.622, self_length: 5, after_length: 13, quantity: 8, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9771792547072715, income: 9.4e-323, operation count: 32120, sucsessful operations percentage: 17.477, self_length: 5, after_length: 13, quantity: 8, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9771792547072715, income: 9.4e-323, operation count: 32120, sucsessful operations percentage: 17.477, self_length: 5, after_length: 13, quantity: 8, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9772632223905355, income: 9.4e-323, operation count: 32240, sucsessful operations percentage: 17.241, self_length: 5, after_length: 13, quantity: 12, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9772632223905355, income: 9.4e-323, operation count: 32240, sucsessful operations percentage: 17.241, self_length: 5, after_length: 13, quantity: 12, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.977201005712923, income: 9.4e-323, operation count: 32151, sucsessful operations percentage: 17.2, self_length: 5, after_length: 13, quantity: 12, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.977201005712923, income: 9.4e-323, operation count: 32151, sucsessful operations percentage: 17.2, self_length: 5, after_length: 13, quantity: 12, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9772017066679909, income: 9.4e-323, operation count: 32152, sucsessful operations percentage: 17.416, self_length: 5, after_length: 13, quantity: 12, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9772017066679909, income: 9.4e-323, operation count: 32152, sucsessful operations percentage: 17.416, self_length: 5, after_length: 13, quantity: 12, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9768775364143967, income: 9.4e-323, operation count: 31696, sucsessful operations percentage: 10.523, self_length: 5, after_length: 20, quantity: 3, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.976959440138659, income: 9.4e-323, operation count: 31810, sucsessful operations percentage: 10.969, self_length: 5, after_length: 20, quantity: 3, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.976905621555466, income: 9.4e-323, operation count: 31735, sucsessful operations percentage: 10.433, self_length: 5, after_length: 20, quantity: 3, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9769133044183004, income: 9e-323, operation count: 31748, sucsessful operations percentage: 10.758, self_length: 5, after_length: 20, quantity: 3, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9768840236617319, income: 9.4e-323, operation count: 31705, sucsessful operations percentage: 10.158, self_length: 5, after_length: 20, quantity: 3, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9769199977446016, income: 9.4e-323, operation count: 31755, sucsessful operations percentage: 10.429, self_length: 5, after_length: 20, quantity: 3, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9769149681146834, income: 9.4e-323, operation count: 31748, sucsessful operations percentage: 12.379, self_length: 5, after_length: 20, quantity: 4, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9769305409719455, income: 9e-323, operation count: 31772, sucsessful operations percentage: 12.718, self_length: 5, after_length: 20, quantity: 4, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.976938660055414, income: 9.4e-323, operation count: 31781, sucsessful operations percentage: 12.388, self_length: 5, after_length: 20, quantity: 4, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9769408114571577, income: 9.4e-323, operation count: 31784, sucsessful operations percentage: 12.701, self_length: 5, after_length: 20, quantity: 4, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9768969872426416, income: 9.4e-323, operation count: 31723, sucsessful operations percentage: 12.11, self_length: 5, after_length: 20, quantity: 4, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9768758700524309, income: 9e-323, operation count: 31696, sucsessful operations percentage: 12.266, self_length: 5, after_length: 20, quantity: 4, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9768782573994521, income: 9.4e-323, operation count: 31697, sucsessful operations percentage: 13.863, self_length: 5, after_length: 20, quantity: 5, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9769049022758938, income: 9.4e-323, operation count: 31734, sucsessful operations percentage: 14.181, self_length: 5, after_length: 20, quantity: 5, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9769336385565583, income: 9.4e-323, operation count: 31774, sucsessful operations percentage: 13.907, self_length: 5, after_length: 20, quantity: 5, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9769350734936374, income: 9.4e-323, operation count: 31776, sucsessful operations percentage: 14.201, self_length: 5, after_length: 20, quantity: 5, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9769149681146834, income: 9.4e-323, operation count: 31748, sucsessful operations percentage: 13.886, self_length: 5, after_length: 20, quantity: 5, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9769077791254032, income: 9.4e-323, operation count: 31738, sucsessful operations percentage: 13.844, self_length: 5, after_length: 20, quantity: 5, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9770030279733277, income: 9.4e-323, operation count: 31871, sucsessful operations percentage: 17.089, self_length: 5, after_length: 20, quantity: 8, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9770058804312641, income: 9.4e-323, operation count: 31875, sucsessful operations percentage: 17.118, self_length: 5, after_length: 20, quantity: 8, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9770251160300709, income: 9.4e-323, operation count: 31902, sucsessful operations percentage: 17.322, self_length: 5, after_length: 20, quantity: 8, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9770251160300709, income: 9.4e-323, operation count: 31902, sucsessful operations percentage: 17.322, self_length: 5, after_length: 20, quantity: 8, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9770286746469793, income: 9.4e-323, operation count: 31907, sucsessful operations percentage: 17.759, self_length: 5, after_length: 20, quantity: 8, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9770286746469793, income: 9.4e-323, operation count: 31907, sucsessful operations percentage: 17.759, self_length: 5, after_length: 20, quantity: 8, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9771088064398912, income: 9.4e-323, operation count: 32020, sucsessful operations percentage: 19.54, self_length: 5, after_length: 20, quantity: 12, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9771088064398912, income: 9.4e-323, operation count: 32020, sucsessful operations percentage: 19.54, self_length: 5, after_length: 20, quantity: 12, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9771609799028388, income: 9.4e-323, operation count: 32094, sucsessful operations percentage: 21.091, self_length: 5, after_length: 20, quantity: 12, min_profit: 5e-05, probability_edge: 0.9. 
